symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-03-02,Long,1696.0,58.867987771593,71.015390348175,20601.994769883077,20.63%,59,0
SWKS,2015-04-01,2015-04-27,Long,1357.0,79.704580022067,75.579798343203,-5597.328738218463,-5.18%,26,0
SWKS,2024-08-01,2024-08-05,Long,28775.0,107.57744661664,98.9337656016,-248721.92120777606,-8.03%,4,0
NFLX,2015-03-02,2015-03-23,Long,17716.0,6.791206208787,6.11244674469,-12024.902665942456,-9.99%,21,0
NFLX,2015-07-01,2015-09-01,Long,11171.0,9.394232605758,11.491497,23428.54054807738,22.33%,62,0
NFLX,2018-03-01,2018-05-01,Long,6834.0,29.167138,31.214754,13993.407743999986,7.02%,61,0
JD,2015-05-01,2015-06-01,Long,3365.0,30.482957593088,30.530832270336,161.09828893952033,0.16%,31,0
JD,2017-06-01,2017-07-03,Long,4360.0,36.359737558144,35.552827839744,-3518.126372224,-2.22%,32,0
NTES,2015-06-01,2015-07-01,Long,4319.0,23.781288016486,24.314487575598,2302.8888958047396,2.24%,30,0
NTES,2015-12-01,2016-01-04,Long,1980.0,28.333823251734,30.751001692524,4786.013312764199,8.53%,34,0
NTES,2015-12-01,2016-01-25,Long,1975.0,28.333823251734,26.04435422535,-4521.701327108402,-8.08%,55,0
NTES,2016-11-01,2016-11-07,Long,2860.0,44.2463073520468,41.8279246731324,-6916.574461695178,-5.47%,6,0
NTES,2019-01-02,2019-02-01,Long,2142.0,41.452149631893,44.279962789923,6057.175784500254,6.82%,30,0
AMZN,2015-09-01,2015-10-01,Long,2504.0,25.609922341003,25.508920847697,-252.90773923822553,-0.39%,30,0
P,2015-10-01,2015-10-26,Long,2995.0,21.36134,12.37761,-26906.27134999999,-42.06%,25,0
P,2018-06-01,2018-08-01,Long,30720.0,7.22722,6.73326,-15174.451200000012,-6.83%,61,0
NVDA,2015-11-02,2015-12-01,Long,145791.0,0.6900647718965,0.7729317322623,12081.257018690363,12.01%,29,0
NVDA,2016-12-01,2017-03-01,Long,52530.0,2.272806637101,2.4997190605182,11919.709602105515,9.98%,90,0
NVDA,2017-07-03,2017-09-01,Long,43338.0,3.5717791923814,4.1818266457416,26438.23653372434,17.08%,60,0
NVDA,2019-05-01,2019-05-13,Long,41261.0,4.49631089908,4.1853623656824,-12830.047436518358,-6.92%,12,0
NVDA,2021-08-02,2021-09-01,Long,46536.0,19.4742583701666,22.315863717081,132236.94642400864,14.59%,30,0
NVDA,2023-04-03,2023-06-01,Long,37163.0,27.7807119655065,37.763453418327,370988.6206111683,35.93%,59,0
NVDA,2023-07-03,2023-08-01,Long,36737.0,42.3120314074458,46.6466944412709,159242.51587363277,10.24%,29,0
NVDA,2024-03-01,2024-05-01,Long,38926.0,79.1442387808072,86.26855599909,277321.17203887616,9.00%,61,0
NVDA,2024-07-01,2024-07-29,Long,27417.0,123.610636737588,112.898621299068,-293691.3272779028,-8.67%,28,0
ISRG,2016-02-01,2016-03-01,Long,933.0,60.1544733204415,62.4995918753706,2187.9956117488514,3.90%,29,0
ISRG,2023-06-01,2023-07-03,Long,4551.0,308.14784,341.59806,152231.95122000002,10.86%,32,0
NDAQ,2016-03-01,2016-04-01,Long,3183.0,17.981207724155,18.8936790497659,2904.3962294195007,5.07%,31,0
NDAQ,2022-09-01,2022-10-03,Long,8761.0,56.747592094193,54.09726875982,-23219.482732441906,-4.67%,32,0
WYNN,2016-04-01,2016-05-02,Long,1416.0,82.860739574613,78.15460469247,-6663.8869931144945,-5.68%,31,0
CLR,2016-05-02,2016-07-01,Long,3054.0,36.24126267762,43.94428221951,23525.021680932063,21.25%,60,0
CLR,2018-01-02,2018-02-01,Long,3633.0,51.52173065039,53.90382133089,8654.135442256498,4.62%,30,0
CLR,2021-07-01,2021-07-19,Long,27497.0,37.253518816514,32.965521615864,-117907.05902627316,-11.51%,18,0
LNKD,2016-07-01,2016-09-01,Long,708.0,189.43925,192.55725,2207.5440000000167,1.65%,62,0
GRPN,2016-09-01,2016-10-03,Long,1277.0,106.7066,102.897,-4864.859199999986,-3.57%,32,0
GRPN,2023-08-01,2023-11-01,Long,216516.0,7.9079,12.77721,1054283.5239600001,61.58%,92,0
MU,2016-10-03,2016-11-01,Long,7570.0,17.365238772882,16.726215845196,-4837.403562583046,-3.68%,29,0
MU,2017-11-01,2017-12-04,Long,4575.0,43.276362768639,40.928543318169,-10741.273985900243,-5.43%,33,0
TSLA,2017-03-01,2017-04-03,Long,7851.0,16.6826643317334,18.534778146522,14540.945559905314,11.10%,33,0
TSLA,2019-12-02,2020-03-02,Long,5222.0,22.0179937982004,44.4881295511866,117339.04890209394,102.05%,91,0
TSLA,2019-12-02,2020-04-01,Long,5202.0,22.0179937982004,34.89839651016,67003.85490761383,58.50%,121,0
TSLA,2020-07-01,2020-10-01,Long,6698.0,72.0593134607346,142.860315713967,474225.1130921506,98.25%,92,0
ATVI,2017-04-03,2017-05-01,Long,3036.0,47.896067022804,50.09164386435,6665.771290933656,4.58%,28,0
VRTX,2017-05-01,2017-06-01,Long,1284.0,118.4183,123.4764,6494.600399999995,4.27%,31,0
VRTX,2022-02-01,2022-03-01,Long,4545.0,243.29305,229.78998,-61371.45314999991,-5.55%,28,0
VRTX,2022-08-01,2022-09-01,Long,1768.0,280.69041,281.47824,1392.8834400000746,0.28%,31,0
YELP,2017-09-01,2017-11-01,Long,4243.0,42.6426,46.67328,17102.175239999986,9.45%,61,0
KSS,2018-02-01,2018-03-01,Long,4610.0,42.476920991505,43.255993791915,3591.5256098901277,1.83%,28,0
ETFC,2018-05-01,2018-06-01,Long,3597.0,59.290848560944,61.77604829382,8939.263439154964,4.19%,31,0
TRIP,2018-08-01,2018-08-06,Long,4004.0,51.620655331245,47.324334179115,-17202.469893128513,-8.32%,5,0
TRIP,2021-04-01,2021-04-26,Long,22363.0,53.84379,50.93901,-64959.595139999896,-5.39%,25,0
ILMN,2018-09-04,2018-10-01,Long,548.0,345.510518711358,356.705177716044,6134.673134567929,3.24%,27,0
ILMN,2020-06-01,2020-07-01,Long,1341.0,353.51462339193,359.90236628109,8565.963214363554,1.81%,30,0
ILMN,2024-02-01,2024-02-26,Long,23835.0,139.253894205426,129.2480483742,-238489.33538727165,-7.19%,25,0
ILMN,2024-09-03,2024-10-01,Long,21644.0,131.5314,130.27959,-27094.175639999517,-0.95%,28,0
QCOM,2018-10-01,2018-10-15,Long,3248.0,60.220682566044,53.642263532508,-21366.705020924932,-10.92%,14,0
QCOM,2022-01-03,2022-01-24,Long,7339.0,167.391983065307,150.668775677727,-122731.61901744944,-9.99%,21,0
CME,2018-11-01,2019-01-02,Long,617.0,141.080920504524,146.492167525668,3338.739412045861,3.84%,62,0
CME,2018-12-03,2019-01-02,Long,595.0,146.347202409408,146.492167525668,86.25424417470626,0.10%,30,0
VMW,2019-02-01,2019-03-01,Long,740.0,124.041940745723,140.797663795602,12399.235056910467,13.51%,28,0
XLNX,2019-03-01,2019-04-29,Long,1609.0,121.7786848278,115.35675695082,-10332.881954060831,-5.27%,59,0
TTWO,2019-06-03,2019-09-03,Long,796.0,108.25815,131.83803,18769.58448,21.78%,92,0
TTWO,2019-07-01,2019-09-03,Long,758.0,113.64353,131.83803,13791.431000000004,16.01%,64,0
KLAC,2019-09-03,2019-11-01,Long,1494.0,137.12828662533,156.415493941992,28815.087731093037,14.07%,59,0
LRCX,2019-11-01,2019-12-02,Long,9287.0,25.1646225903072,24.7242484844181,-4089.754321392059,-1.75%,31,0
GILD,2020-04-01,2020-05-01,Long,3451.0,59.90537504952,67.174925832,25087.219750338467,12.14%,30,0
REGN,2020-05-01,2020-06-01,Long,418.0,523.502435728272,608.820555178836,35662.97393033577,16.30%,31,0
REGN,2021-09-01,2021-10-01,Long,1548.0,670.35548075496,601.240227122808,-106990.41262257124,-10.31%,30,0
GAP,2020-10-01,2020-12-01,Long,66441.0,14.385983502891,17.678880132291,218783.34495396537,22.89%,61,0
GAP,2021-05-03,2021-06-01,Long,40406.0,28.18689805932,28.436532514488,10086.729795518193,0.89%,29,0
GAP,2022-12-01,2023-01-03,Long,81516.0,13.163114332368,10.191421353024,-242240.52490420555,-22.58%,33,0
GAP,2023-11-01,2024-02-01,Long,112384.0,12.29366506368,18.044247123567,646273.4142183407,46.78%,92,0
GAP,2023-12-01,2024-02-01,Long,71484.0,19.276082642817,18.044247123567,-88056.53025806685,-6.39%,62,0
GM,2020-12-01,2020-12-28,Long,27723.0,42.340537503264,40.077600999282,-62735.388699893105,-5.34%,27,0
JWN,2021-01-04,2021-03-01,Long,40846.0,27.195089038117,31.697547388335,183907.4137730044,16.56%,56,0
BIDU,2021-03-01,2021-03-15,Long,4561.0,283.74346,263.98575,-90114.91531000014,-6.96%,14,0
BIDU,2023-02-01,2023-03-01,Long,6211.0,134.81468,137.55231,17003.419929999975,2.03%,28,0
WFC,2021-06-01,2021-06-21,Long,27406.0,41.912174608304,37.379743287552,-124215.81277652922,-10.81%,20,0
WFC,2024-12-02,2024-12-23,Long,32675.0,74.62456645644,68.77516487112,-191129.19680033086,-7.84%,21,0
M,2021-10-01,2021-11-01,Long,48604.0,19.1544988635,22.389670742175,157242.29399111972,16.89%,31,0
DVN,2021-11-01,2021-12-01,Long,33166.0,32.791838463384,34.343039720862,51447.140905515305,4.73%,30,0
DVN,2022-06-01,2022-06-27,Long,9490.0,63.49650522215,46.246913015778,-163698.6300384703,-27.17%,26,0
DVN,2024-05-01,2024-06-03,Long,69074.0,48.60168845532,46.51435900008,-144180.19479124795,-4.29%,33,0
F,2021-12-01,2022-01-03,Long,73891.0,15.40672381248,16.633244668437,90628.85256751883,7.96%,33,0
MRO,2022-03-01,2022-04-01,Long,24117.0,21.654059979552,24.053504679738,57867.40783438582,11.08%,31,0
OXY,2022-04-01,2022-05-02,Long,10267.0,53.723252570988,52.056761887242,-17109.859850020235,-3.10%,31,0
OXY,2022-04-01,2022-06-01,Long,10246.0,53.723252570988,65.493813149478,120601.16368720852,21.91%,61,0
IBM,2022-07-01,2022-07-25,Long,4213.0,123.623508409401,112.069106886825,-48678.69361461269,-9.35%,24,0
IBM,2024-10-01,2024-11-01,Long,13173.0,214.040368606064,199.737744493824,-188408.46743053728,-6.68%,31,0
COP,2022-10-03,2022-11-01,Long,501.0,91.974228510164,113.092237471086,10580.122489421921,22.96%,29,0
COP,2022-10-03,2022-12-01,Long,4778.0,91.974228510164,111.201543550593,91868.11126316979,20.91%,59,0
ROST,2023-01-03,2023-02-01,Long,3693.0,112.455474715584,114.280665867072,6740.430922445181,1.62%,29,0
META,2023-03-01,2023-04-03,Long,4912.0,173.900202684208,210.259344793392,178596.1060403117,20.91%,33,0
GOOGL,2024-06-03,2024-07-01,Long,18746.0,171.3776289225,180.810552670785,176829.58858535046,5.50%,28,0
LVS,2024-11-01,2024-11-18,Long,51986.0,50.614201432795,46.905997357692,-192774.69704830446,-7.33%,17,0
